Desc,,,,,,,,,,,,,,,,,,,
Total elements computed:,,m*n,,,,,,,,,,,,,,,,,
Serial Time:,,Time taken in seconds for the matrix multiplication in serial,,,,,,,,,,,,,,,,,
Parallel Time:,,"Time taken in seconds for parallel program including all setup, distribution, core algorithm, and gather.",,,,,,,,,,,,,,,,,
Block Dist. Time,,Time taken in seconds to distribute blocks of input matrices to corresponding processes in the process grid,,,,,,,,,,,,,,,,,
Core algorithm time:,,Time taken in seconds for the core computation of the SUMMA algorithm. This includes the internal broadcasts (and the reduce for stat_A) but doesn't include the final gather operation.,,,,,,,,,,,,,,,,,
Bcast in Core comp:,,Collective spent in seconds by the core computation for just broadcasts and reductions. Basically message passing instead of matrix multiplications.,,,,,,,,,,,,,,,,,
Final Gather operation,,Time taken in seconds to gather the local_C values of each process to global C.,,,,,,,,,,,,,,,,,
Avg. Error,,Avergage deviation from actual values due to precision errors for float values,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sr. no. ,Test Group,,m,k,n,Grid size,Total Elements computed,Serial Time,Parallel Time,Block Dist. Time,Core algorithm time,Bcast in Core comp,Final Gather Operation,Avg. Error,,Speedup,Comp : Comm ratio,Total time spent on communication,% comm. overhead
,,,,,,,,,,,,,,,,,,,
Stationary C,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,Square Matrices on 2x2 Grid,,4096,4096,4096,2x2,16777216,2030.8336,130.2575,0.0531,130.1893,0.0225,0.0205,0,,15.59091492,1354.493236,0.0961,0.0737
2,,,8192,8192,8192,2x2,67108864,7985.051,3992.6146,0.1782,3992.3699,0.0732,0.0665,0,,1.999955368,12558.3413,0.3179,0.0079
,,,,,,,,,,,,,,,,,,,
3,Square Matrices on 4x4 Grid,,4096,4096,4096,4x4,16777216,2030.8336,30.9712,0.0959,30.8473,0.0296,0.028,0,,65.5716795,200.7667752,0.1535,0.4956
4,,,8192,8192,8192,4x4,67108864,7985.051,229.2599,0.0804,229.1499,0.0888,0.0296,0,,34.82968893,1152.218813,0.1988,0.0867
5,,,16384,16384,16384,4x4,268435456,34826.3048,8044.6328,0.7613,8043.5827,0.4499,0.2888,0,,4.329135421,5362.088533,1.5,0.0186
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
6,Square Matrices on 8x8 Grid,,4096,4096,4096,8x8,16777216,2030.8336,4.043,0.2474,3.7695,0.0434,0.0261,0,,502.3085827,11.75796781,0.3169,7.8382
7,,,8192,8192,8192,8x8,67108864,7985.051,63.7642,0.3873,63.3013,0.1594,0.0756,0,,125.2278081,101.4653704,0.6223,0.9759
8,,,16384,16384,16384,8x8,268435456,34826.3048,682.3318,0.8925,681.1523,0.6877,0.2869,0,,51.0401315,364.4500027,1.8671,0.2736
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
9,Rectangular Matrices on 2x2 Grid,,4096,128,4096,2x2,16777216,55.108,1.1294,0.0015,1.1209,0.0006,0.0071,0,,48.79404994,121.7717391,0.0092,0.8145
